1.2284 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.5167 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
8.5847 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001943388DF98>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019433962630>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5850 	EXP 	window1: mouseVisible = True
8.5850 	EXP 	window1: recordFrameIntervals = False
8.7506 	EXP 	window1: recordFrameIntervals = True
8.9339 	EXP 	window1: recordFrameIntervals = False
9.1315 	EXP 	Created image_welcome = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='images/welcome.jpg', interpolate=True, mask=None, maskParams=None, name='image_welcome', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.3, 0.9]), texRes=128, units='height', win=Window(...))
9.2036 	EXP 	Created image_Instr_Intro = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='images/intro.jpg', interpolate=True, mask=None, maskParams=None, name='image_Instr_Intro', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.3, 0.9]), texRes=128, units='height', win=Window(...))
9.2568 	EXP 	Created image_Instr_Prac1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='images/prac1.jpg', interpolate=True, mask=None, maskParams=None, name='image_Instr_Prac1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.3, 0.9]), texRes=128, units='height', win=Window(...))
9.3396 	EXP 	Created text_trial_Prac1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_trial_Prac1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
